Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19520321.5.7,Summary,1952-03-21,17:00:00,3,Arkansas,-,-,2,0,6,10,0.1,Faulkner,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.95,-92.42,-,-,1,,55,Unmodified
19520321.5.8,Summary,1952-03-21,17:00:00,3,Arkansas,-,-,4,2,6,10,7.6,Lonoke,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.9,-91.85,34.8,-91.8,1,,56,Unmodified
19520321.5.9,Summary,1952-03-21,17:00:00,3,Arkansas,-,-,3,9,9,10,16.2,Lonoke,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.53,-91.8,34.73,-91.65,1,,57,Unmodified
19520321.5.11,Summary,1952-03-21,17:20:00,3,Arkansas,-,-,2,5,15,417,13.3,Prairie,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.8,-91.8,34.98,-91.73,1,,58,Unmodified
19520321.5.12,Summary,1952-03-21,17:20:00,3,Arkansas,-,-,0,1,5,417,0.1,Prairie,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.72,-91.57,-,-,1,,59,Unmodified
19520321.5.13,Summary,1952-03-21,17:30:00,3,Arkansas,-,-,3,0,0,600,17.6,Woodruff,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.13,-91.45,35.27,-91.18,1,,60,Unmodified
19520321.5.14,Summary,1952-03-21,17:30:00,3,Arkansas,-,-,4,29,180,880,13.1,Woodruff,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,35,-91.25,35.13,-91.08,1,,61,Unmodified
19520321.5.15,Summary,1952-03-21,17:40:00,3,Arkansas,-,-,3,0,6,440,28.5,Jackson,Poinsett,Craighead,-,-,-,-,-,-,-,-,-,$500-$5000,,35.47,-91.2,35.8,-90.97,1,,62,Unmodified
19520321.5.16,Summary,1952-03-21,18:00:00,3,Arkansas,-,-,4,4,5,880,0.1,Cross,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.42,-91,-,-,1,,64,Unmodified
19520321.5.17,Summary,1952-03-21,18:45:00,3,Arkansas,-,-,3,3,96,880,51.8,Poinsett,Mississippi,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.6,-90.72,35.67,-90.52,1,,65,Unmodified
19520321.5.18,Summary,1952-03-21,18:45:00,3,Arkansas,-,-,3,1,5,200,9.4,Poinsett,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.53,-90.42,35.62,-90.28,1,,66,Unmodified
19520321.5.19,Summary,1952-03-21,19:00:00,3,Arkansas,-,-,3,1,57,880,39.7,Mississippi,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.67,-90.52,35.95,-89.9,1,,67,Unmodified
19520422.5.20,Summary,1952-04-22,18:30:00,3,Arkansas,-,-,1,0,0,150,0.3,Columbia,-,-,-,-,-,-,-,-,-,-,-,<$50,,33.32,-93.25,-,-,1,,111,Unmodified
19520422.5.21,Summary,1952-04-22,19:15:00,3,Arkansas,-,-,1,0,0,100,0.1,Independence,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.9,-91.63,-,-,1,,112,Unmodified
19520604.5.22,Summary,1952-06-04,15:35:00,3,Arkansas,-,-,2,0,0,10,0.1,Lawrence,-,-,-,-,-,-,-,-,-,-,-,-,,36.12,-90.93,-,-,1,,157,Unmodified
19520618.5.23,Summary,1952-06-18,14:30:00,3,Arkansas,-,-,0,0,0,10,0.1,Pulaski,-,-,-,-,-,-,-,-,-,-,-,-,,34.7,-92.08,-,-,1,,166,Unmodified
19520716.5.24,Summary,1952-07-16,14:18:00,3,Arkansas,-,-,2,0,0,50,1.1,Miller,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.45,-93.97,33.47,-93.97,1,,201,Unmodified
19520716.5.25,Summary,1952-07-16,16:05:00,3,Arkansas,-,-,2,0,0,50,1.1,Miller,-,-,-,-,-,-,-,-,-,-,-,-,,33.45,-93.97,33.47,-93.97,1,,202,Unmodified
19521117.5.26,Summary,1952-11-17,16:30:00,3,Arkansas,-,-,2,0,2,100,39.2,Polk,Scott,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.57,-94.4,34.95,-93.9,1,,236,Unmodified
19530107.5.1,Summary,1953-01-07,20:15:00,3,Arkansas,-,-,2,0,2,100,4.5,Cleveland,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.83,-92.17,33.87,-92.1,1,,1,Unmodified
19530220.5.2,Summary,1953-02-20,10:15:00,3,Arkansas,-,-,1,0,0,33,0.1,Prairie,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.77,-91.57,-,-,1,,22,Unmodified
19530314.5.3,Summary,1953-03-14,00:30:00,3,Arkansas,-,-,3,0,0,880,40.1,Logan,Johnson,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.22,-93.95,35.55,-93.37,1,,39,Unmodified
19530314.5.4,Summary,1953-03-14,00:30:00,3,Arkansas,-,-,2,0,0,333,36.2,Stone,Izard,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.88,-92.23,36.18,-91.7,1,,40,Unmodified
19530314.5.5,Summary,1953-03-14,01:30:00,3,Arkansas,-,-,3,0,7,880,12.2,Yell,Pope,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.28,-93.28,35.4,-93.12,1,,41,Unmodified
19530423.5.6,Summary,1953-04-23,19:00:00,3,Arkansas,-,-,3,0,0,880,0.1,Crawford,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.48,-94.22,-,-,1,,94,Unmodified
19530424.5.7,Summary,1953-04-24,04:00:00,3,Arkansas,-,-,2,0,0,100,1,Miller,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.42,-94,-,-,1,,98,Unmodified
19530510.5.8,Summary,1953-05-10,12:10:00,3,Arkansas,-,-,2,0,0,200,2.3,Pope,-,-,-,-,-,-,-,-,-,-,-,-,,35.27,-93.17,35.28,-93.13,1,,149,Unmodified
19530720.5.9,Summary,1953-07-20,14:30:00,3,Arkansas,-,-,1,0,0,10,0.1,Desha,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.85,-91.13,-,-,1,,344,Unmodified
19531205.22.19,Summary,1953-12-05,17:00:00,3,Louisiana,Arkansas,-,2,0,11,880,58.3,Union,Morehouse,Ashley,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.75,-92.13,33.35,-91.43,2,,415,Unmodified
19531205.22.19,State,1953-12-05,17:00:00,3,Louisiana,,,2,0,11,880,26.1,Union,Morehouse,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.75,-92.13,33,-91.8,2,,415,Unmodified
19531205.22.19,State,1953-12-05,18:00:00,3,Arkansas,,,2,0,0,880,32.2,Ashley,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33,-91.8,33.35,-91.43,2,,415,Unmodified
19540215.5.1,Summary,1954-02-15,20:18:00,3,Arkansas,-,-,3,0,24,100,1,Johnson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.48,-93.48,-,-,1,,4,Unmodified
19540215.5.2,Summary,1954-02-15,22:10:00,3,Arkansas,-,-,2,0,0,167,0.1,Sevier,-,-,-,-,-,-,-,-,-,-,-,-,,34.1,-94.15,-,-,1,,5,Unmodified
19540216.5.3,Summary,1954-02-16,02:30:00,3,Arkansas,-,-,3,1,4,880,2,Mississippi,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.52,-90.22,-,-,1,,6,Unmodified
19540219.5.4,Summary,1954-02-19,15:45:00,3,Arkansas,-,-,2,0,1,167,1.2,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.18,-92.12,-,-,1,,11,Unmodified
19540219.5.5,Summary,1954-02-19,16:45:00,3,Arkansas,-,-,2,0,0,33,1,Sebastian,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,35.22,-94.25,-,-,1,,12,Unmodified
19540227.5.6,Summary,1954-02-27,17:40:00,3,Arkansas,-,-,2,0,0,400,3,Phillips,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.52,-90.68,34.55,-90.65,1,,18,Unmodified
19540324.5.7,Summary,1954-03-24,22:40:00,3,Arkansas,-,-,3,0,4,400,20.6,Benton,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,36.35,-94.28,36.48,-93.95,1,,63,Unmodified
19540325.5.8,Summary,1954-03-25,02:15:00,3,Arkansas,-,-,1,0,0,440,0.5,Benton,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.35,-94.28,-,-,1,,75,Unmodified
19540410.5.9,Summary,1954-04-10,12:30:00,3,Arkansas,-,-,2,0,0,100,13.9,Bradley,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.43,-92.17,33.62,-92.07,1,,107,Unmodified
19540410.5.10,Summary,1954-04-10,16:30:00,3,Arkansas,-,-,1,0,0,47,0.5,Ashley,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.12,-91.98,-,-,1,,108,Unmodified
19540428.5.11,Summary,1954-04-28,12:30:00,3,Arkansas,-,-,1,0,0,10,0.1,Prairie,-,-,-,-,-,-,-,-,-,-,-,-,,34.92,-91.5,-,-,1,,149,Unmodified
19540430.48.26,Summary,1954-04-30,10:00:00,3,Texas,Arkansas,-,3,0,1,50,86.3,Morris,Cass,Nevada,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.92,-94.72,33.52,-93.42,2,,174,Unmodified
19540430.48.26,State,1954-04-30,10:00:00,3,Texas,,,3,0,1,50,42.5,Morris,Cass,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.92,-94.72,33.17,-94.05,2,,174,Unmodified
19540430.48.26,State,1954-04-30,11:00:00,3,Arkansas,,,3,0,0,50,43.8,Nevada,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.17,-94.05,33.52,-93.42,2,,174,Unmodified
19540430.48.27,Summary,1954-04-30,10:30:00,3,Texas,Arkansas,-,3,0,2,1760,111.6,Bowie,Little River,Sevier,Howard,Hempstead,Pike,Clark,Hot Spring,-,-,-,-,$50K-$500K,,33.4,-94.63,33.48,-93.1,2,,175,Unmodified
19540430.48.27,State,1954-04-30,10:30:00,3,Texas,,,3,0,0,1760,19.2,Bowie,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.4,-94.63,33.58,-94.38,2,,175,Unmodified
19540430.48.27,State,1954-04-30,11:00:00,3,Arkansas,,,3,0,2,1760,92.4,Little River,Sevier,Howard,Hempstead,Pike,Clark,Hot Spring,-,-,-,-,-,$50K-$500K,,33.58,-94.38,33.48,-93.1,2,,175,Unmodified
19540430.5.14,Summary,1954-04-30,11:10:00,3,Arkansas,-,-,1,0,0,10,0.1,Sebastian,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.33,-94.42,-,-,1,,177,Unmodified
19540430.5.15,Summary,1954-04-30,11:55:00,3,Arkansas,-,-,3,0,1,440,40.7,Crawford,Washington,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.63,-94.4,36.1,-94,1,,178,Unmodified
19540430.5.16,Summary,1954-04-30,12:00:00,3,Arkansas,-,-,1,0,0,50,0.5,Pope,-,-,-,-,-,-,-,-,-,-,-,-,,35.23,-92.93,-,-,1,,179,Unmodified
19540430.5.17,Summary,1954-04-30,12:30:00,3,Arkansas,-,-,1,0,0,100,6.9,Johnson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.45,-93.58,35.48,-93.47,1,,180,Unmodified
19540430.5.18,Summary,1954-04-30,15:15:00,3,Arkansas,-,-,2,0,0,100,38.8,Lawrence,Greene,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.97,-91.27,36.17,-90.62,1,,187,Unmodified
19540502.5.19,Summary,1954-05-02,06:30:00,3,Arkansas,-,-,1,0,0,50,2.7,Miller,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.5,-93.83,-,-,1,,216,Unmodified
19540502.5.20,Summary,1954-05-02,09:15:00,3,Arkansas,-,-,1,0,0,40,0.5,Clark,-,-,-,-,-,-,-,-,-,-,-,-,,34,-93.33,-,-,1,,219,Unmodified
19540502.5.21,Summary,1954-05-02,09:30:00,3,Arkansas,-,-,1,0,0,10,0.1,Mississippi,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.85,-90.03,-,-,1,,220,Unmodified
19540502.5.22,Summary,1954-05-02,11:00:00,3,Arkansas,-,-,3,0,0,50,0.4,Arkansas,-,-,-,-,-,-,-,-,-,-,-,-,,34.5,-91.55,-,-,1,,221,Unmodified
19540602.5.23,Summary,1954-06-02,21:00:00,3,Arkansas,-,-,1,0,1,10,0.1,Mississippi,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.85,-89.73,-,-,1,,316,Unmodified
19540613.5.24,Summary,1954-06-13,14:00:00,3,Arkansas,-,-,3,0,0,833,2.5,Mississippi,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.68,-90.1,-,-,1,,345,Unmodified
19540629.5.25,Summary,1954-06-29,14:10:00,3,Arkansas,-,-,2,0,0,10,0.1,Greene,-,-,-,-,-,-,-,-,-,-,-,-,,36.05,-90.5,-,-,1,,398,Unmodified
19540708.5.26,Summary,1954-07-08,18:30:00,3,Arkansas,-,-,1,0,0,100,1,Scott,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.9,-94.13,-,-,1,,416,Unmodified
19540719.5.27,Summary,1954-07-19,17:30:00,3,Arkansas,-,-,1,0,0,10,2,Cleveland,-,-,-,-,-,-,-,-,-,-,-,-,,33.85,-92.28,-,-,1,,427,Unmodified
19540829.5.28,Summary,1954-08-29,22:30:00,3,Arkansas,-,-,2,0,1,33,8.4,Sevier,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.83,-94.12,33.95,-94.15,1,,492,Unmodified
19550219.5.1,Summary,1955-02-19,19:10:00,3,Arkansas,-,-,1,0,0,227,1,Nevada,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.8,-93.37,-,-,1,,6,Unmodified
19550320.5.2,Summary,1955-03-20,12:30:00,3,Arkansas,-,-,2,0,0,60,12.6,Logan,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.28,-93.73,35.37,-93.53,1,,32,Unmodified
19550320.5.3,Summary,1955-03-20,15:30:00,3,Arkansas,Missouri,-,2,0,1,250,89.4,Craighead,Mississippi,Dunklin,Pemiscot,New Madrid,-,-,-,-,-,-,-,$50K-$500K,,35.72,-90.85,36.43,-89.55,2,,34,Unmodified
19550320.5.3,State,1955-03-20,15:30:00,3,Arkansas,,,2,0,1,250,38,Craighead,Mississippi,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.72,-90.85,36,-90.3,2,,34,Unmodified
19550320.5.3,State,1955-03-20,16:30:00,3,Missouri,,,2,0,0,250,51.4,Dunklin,Pemiscot,New Madrid,-,-,-,-,-,-,-,-,-,$50K-$500K,,36,-90.3,36.43,-89.55,2,,34,Unmodified
19550404.5.4,Summary,1955-04-04,20:00:00,3,Arkansas,-,-,2,0,0,50,10.2,Carroll,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.33,-93.6,36.35,-93.42,1,,60,Unmodified
19550421.5.5,Summary,1955-04-21,01:41:00,3,Arkansas,-,-,2,1,2,83,0.5,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.27,-92.08,-,-,1,,106,Unmodified
19550422.5.6,Summary,1955-04-22,17:00:00,3,Arkansas,-,-,2,0,0,200,1,Randolph,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.35,-90.82,-,-,1,,112,Unmodified
19550510.5.7,Summary,1955-05-10,16:50:00,3,Arkansas,-,-,2,0,0,440,4.7,Mississippi,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.92,-89.93,35.92,-89.85,1,,167,Unmodified
19550510.5.8,Summary,1955-05-10,17:00:00,3,Arkansas,-,-,1,0,0,27,10,Johnson,-,-,-,-,-,-,-,-,-,-,-,-,,35.45,-93.48,-,-,1,,168,Unmodified
19550520.5.9,Summary,1955-05-20,13:00:00,3,Arkansas,-,-,1,0,0,80,4.3,Woodruff,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.23,-91.25,35.25,-91.18,1,,203,Unmodified
19550526.5.10,Summary,1955-05-26,16:45:00,3,Arkansas,-,-,3,0,3,1000,28.8,Garland,Saline,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.7,-93.07,34.87,-92.6,1,,249,Unmodified
19550526.5.11,Summary,1955-05-26,17:20:00,3,Arkansas,-,-,2,0,0,880,4.5,Perry,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.95,-92.63,34.98,-92.57,1,,251,Unmodified
19550526.5.12,Summary,1955-05-26,20:20:00,3,Arkansas,-,-,2,0,7,10,7.5,Woodruff,Jackson,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.38,-91.33,35.45,-91.23,1,,261,Unmodified
19550610.5.13,Summary,1955-06-10,16:15:00,3,Arkansas,-,-,1,0,0,250,0.5,Poinsett,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,35.55,-90.37,-,-,1,,368,Unmodified
19551028.5.14,Summary,1955-10-28,09:05:00,3,Arkansas,-,-,2,0,0,10,0.5,Calhoun,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.53,-92.48,-,-,1,,565,Unmodified
19551028.5.15,Summary,1955-10-28,10:00:00,3,Arkansas,-,-,3,0,1,100,1,Desha,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.8,-91.27,-,-,1,,566,Unmodified
19551102.5.16,Summary,1955-11-02,11:30:00,3,Arkansas,-,-,2,0,5,67,29.9,Van Buren,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.65,-92.83,35.67,-92.3,1,,571,Unmodified
19551115.5.22,Summary,1955-11-15,12:00:00,3,Arkansas,-,-,1,0,0,10,0.1,Madison,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,35.9,-93.67,-,-,1,,573,Unmodified
19551115.5.17,Summary,1955-11-15,15:17:00,3,Arkansas,-,-,3,1,4,133,36.5,Cleburne,Independence,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.48,-92.03,35.72,-91.45,1,,575,Unmodified
19551115.5.18,Summary,1955-11-15,15:26:00,3,Arkansas,-,-,2,0,0,73,1.5,Perry,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.03,-93.05,-,-,1,,576,Unmodified
19551115.5.19,Summary,1955-11-15,17:00:00,3,Arkansas,-,-,3,0,0,10,0.1,Cleburne,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.43,-92.08,-,-,1,,580,Unmodified
19551115.5.20,Summary,1955-11-15,18:05:00,3,Arkansas,-,-,3,0,9,880,3.8,Lawrence,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.9,-91.08,35.92,-91.02,1,,583,Unmodified
19551115.5.21,Summary,1955-11-15,19:30:00,3,Arkansas,-,-,2,0,1,220,15,Washington,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,36.05,-94,36.13,-93.75,1,,585,Unmodified
19560128.5.1,Summary,1956-01-28,21:30:00,3,Arkansas,-,-,3,0,12,150,23,Faulkner,White,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.2,-92.45,35.33,-92.08,1,,1,Unmodified
19560214.5.2,Summary,1956-02-14,22:13:00,3,Arkansas,-,-,2,0,2,200,0.5,Sharp,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.08,-91.6,-,-,1,,9,Unmodified
19560214.5.3,Summary,1956-02-14,22:30:00,3,Arkansas,-,-,3,1,5,300,33,Pope,Conway,Van Buren,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.17,-93,35.42,-92.43,1,,10,Unmodified
19560214.5.4,Summary,1956-02-14,22:45:00,3,Arkansas,-,-,2,0,0,10,4.1,Izard,-,-,-,-,-,-,-,-,-,-,-,-,,36.07,-91.9,36.08,-91.83,1,,11,Unmodified
19560214.5.5,Summary,1956-02-14,23:50:00,3,Arkansas,-,-,2,0,0,500,2,Conway,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.3,-92.75,-,-,1,,12,Unmodified
19560215.5.6,Summary,1956-02-15,00:30:00,3,Arkansas,-,-,2,0,0,100,1,White,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.4,-91.4,-,-,1,,13,Unmodified
19560215.5.7,Summary,1956-02-15,02:30:00,3,Arkansas,-,-,2,0,0,10,0.1,Van Buren,Cleburne,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.57,-92.27,-,-,1,,14,Unmodified
19560216.5.8,Summary,1956-02-16,07:30:00,3,Arkansas,-,-,1,0,0,10,0.1,Phillips,-,-,-,-,-,-,-,-,-,-,-,-,,34.62,-90.92,-,-,1,,15,Unmodified
19560216.5.9,Summary,1956-02-16,12:00:00,3,Arkansas,-,-,0,0,0,10,0.1,White,-,-,-,-,-,-,-,-,-,-,-,-,,35.07,-91.87,-,-,1,,16,Unmodified
19560403.5.10,Summary,1956-04-03,12:25:00,3,Arkansas,-,-,2,0,0,207,2.1,Ashley,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.3,-91.58,-,-,1,,103,Unmodified
19560403.5.11,Summary,1956-04-03,13:00:00,3,Arkansas,-,-,2,0,0,20,1,Chicot,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.25,-91.43,-,-,1,,105,Unmodified
19560429.5.12,Summary,1956-04-29,16:16:00,3,Arkansas,-,-,3,0,0,50,3.3,Phillips,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.55,-90.77,34.58,-90.73,1,,163,Unmodified
19560525.5.13,Summary,1956-05-25,16:00:00,3,Arkansas,-,-,1,0,0,10,0.1,Desha,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.88,-91.48,-,-,1,,218,Unmodified
19570122.5.1,Summary,1957-01-22,06:45:00,3,Arkansas,-,-,2,0,0,10,7.4,Johnson,-,-,-,-,-,-,-,-,-,-,-,-,,35.55,-93.67,35.57,-93.53,1,,5,Unmodified
19570122.5.2,Summary,1957-01-22,09:00:00,3,Arkansas,-,-,2,0,0,880,3.4,Hot Spring,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.32,-93.17,34.37,-93.17,1,,7,Unmodified
